(55, 29), (38, 25), 
(70, 33), (53, 29), 
(50, 29), (41, 26), 
(68, 33), (50, 29), 
(52, 29), (43, 26), 
(64, 34), (47, 28), 
(53, 28), (46, 27), 
(59, 31), (42, 26), 
(56, 28), (50, 26), 
(57, 30), (42, 25), 
(55, 30), (49, 27), 
(54, 30), (42, 25), 
(56, 30), (46, 27), 
(51, 29), (43, 26), 
(59, 30), (47, 26), 
(52, 29), (46, 27), 
(60, 30), (46, 26), 
(50, 28), (47, 26), 
(61, 30), (43, 26), 
(49, 28), (52, 28), 
(61, 29), (42, 24), 
(50, 28), (52, 29), 
(60, 29), (45, 25), 
(53, 29), (50, 26), 
(62, 30), (48, 26), 
(53, 29), (51, 27), 
(62, 29), (47, 25), 
(53, 29), (48, 27), 
(57, 28), (51, 26), 
(57, 30), (43, 25), 
(56, 30), (50, 27), 
(58, 30), (42, 25), 
(58, 31), (49, 28), 
(55, 30), (45, 26), 
(60, 30), (51, 28), 
(55, 30), (47, 27), 
(60, 31), (53, 28), 
(58, 32), (46, 27), 
(59, 31), (53, 29), 
(59, 32), (44, 26), 
(57, 30), (54, 29), 
(63, 31), (44, 26), 
(57, 29), (55, 29), 
(63, 31), (43, 26), 
(57, 30), (55, 29), 
(65, 33), (45, 27), 
(56, 29), (54, 28), 
(69, 33), (48, 28), 
(58, 30), (52, 28), 
(70, 32), (50, 28), 
(61, 30), (52, 27), 
(73, 33), (55, 30), 
(60, 30), (52, 28), 
(72, 32), (53, 28), 
(59, 30), (52, 28), 
(71, 33), (52, 30), 
(55, 29), (53, 28), 
(70, 32), (50, 28), 
(53, 28), (53, 28), 
(68, 32), (47, 27), 
(53, 28), (53, 28), 
(65, 32), (45, 26), 
(56, 29), (57, 28), 
(66, 33), (51, 28), 
(61, 30), (58, 29), 
(63, 31), (59, 30), 
(61, 30), (57, 29), 
(60, 31), (60, 31), 
(64, 29), (59, 28), 
(64, 30), (63, 30), 
(67, 29), (55, 27), 
(65, 31), (62, 30), 
(74, 31), (59, 27), 
(69, 31), (63, 30), 
(74, 31), (62, 27), 
(70, 31), (56, 28), 
(75, 31), (69, 27), 
(71, 32), (52, 26), 
(75, 32), (69, 28), 
(71, 33), (51, 28), 
(75, 31), (68, 28), 
(71, 33), (52, 27), 
(75, 32), (67, 27), 
(70, 33), (52, 27), 
(75, 32), (71, 28), 
(72, 33), (54, 27), 
(75, 33), (70, 29), 
(72, 34), (55, 29), 
(75, 33), (66, 28), 
(69, 32), (62, 30), 
(74, 31), (64, 27), 
(69, 31), (65, 30), 
(71, 32), (65, 28), 
(68, 30), (68, 30), 
(66, 32), (65, 29), 
(64, 29), (64, 30), 
(64, 31), (65, 29), 
(67, 32), (60, 29), 
(68, 32), (64, 30), 
(70, 34), (59, 29), 
(70, 33), (61, 31), 
(75, 35), (57, 29), 
(71, 34), (60, 30), 
(76, 36), (57, 29), 
(74, 34), (61, 30), 
(76, 36), (59, 29), 
(74, 33), (61, 30), 
(76, 37), (58, 29), 
(71, 33), (62, 31), 
(73, 36), (57, 28), 
(72, 33), (62, 30), 
(72, 36), (58, 29), 
(68, 32), (64, 32), 
(74, 36), (57, 29), 
(67, 32), (62, 30), 
(76, 36), (56, 29), 
(66, 31), (59, 29), 
(78, 36), (62, 31), 
(75, 33), (54, 28), 
(78, 36), (71, 32), 
(77, 33), (69, 31), 
(77, 35), (74, 34), 
(73, 32), (69, 32), 
(75, 34), (77, 33), 
(74, 33), (71, 32), 
(72, 33), (73, 33), 
(72, 33), (68, 32), 
(69, 34), (67, 33), 
(70, 33), (67, 33), 
(72, 34), (60, 31), 
(67, 32), (65, 32), 
(71, 34), (54, 30), 
(65, 32), (59, 32), 
(71, 34), (47, 28), 
(63, 32), (53, 30), 
(74, 36), (47, 28), 
(67, 33), (44, 27), 
(73, 34), (46, 27), 
(68, 34), (43, 28), 
(70, 33), (44, 27), 
(67, 32), (41, 26), 
(61, 32), (42, 27), 
(61, 29), (38, 23), 
(46, 27), (45, 26), 
(47, 28), (39, 26), 
(41, 26), (36, 24), 
(34, 23), (39, 26), 
(46, 28), (30, 19), 
(36, 23), (34, 21), 
(41, 26), (34, 22), 
(36, 22), (32, 19), 
(40, 25), (34, 22), 
(38, 23), (27, 17), 
(39, 26), (32, 21), 
(32, 21), (29, 18), 
(38, 25), (27, 17), 
(32, 21), (28, 17), 
(34, 23), (26, 16), 
(34, 22), (26, 16), 
(32, 22), (27, 18), 
(34, 23), (26, 15), 
(28, 20), (31, 22), 
(30, 19), (31, 20), 
(26, 18), (34, 23), 
(27, 18), (40, 24), 
(35, 21), (48, 26), 
(36, 23), (38, 24), 
(48, 27), (58, 29), 
(48, 27), (36, 22), 
(54, 29), (58, 26), 
(52, 28), (42, 23), 
(53, 27), (64, 28), 
(48, 27), (46, 24), 
(47, 26), (62, 27), 
(44, 26), (50, 26), 
(46, 25), (60, 24), 
(38, 24), (61, 28), 
(52, 26), (51, 21), 
(39, 26), (63, 30), 
(50, 27), (47, 20), 
(39, 24), (54, 24), 
(46, 26), (50, 21), 
(41, 26), (48, 23), 
(45, 26), (58, 26), 
(44, 25), (50, 22), 
(43, 26), (57, 26), 
(41, 24), (54, 26), 
(40, 25), (53, 23), 
(34, 21), (49, 25), 
(41, 25), (52, 22), 
(29, 20), (44, 22), 
(46, 26), (55, 24), 
(29, 21), (42, 23), 
(46, 26), (57, 26), 
(31, 22), (44, 24), 
(38, 23), (48, 23), 
(30, 22), (45, 25), 
(35, 22), (43, 22), 
(31, 22), (36, 24), 
(32, 22), (44, 25), 
(31, 22), (37, 24), 
(33, 23), (48, 26), 
(31, 21), (41, 23), 
(33, 22), (43, 24), 
(32, 21), (45, 25), 
(35, 23), (41, 23), 
(33, 21), (50, 23), 
(34, 22), (40, 23), 
(32, 22), (47, 25), 
(33, 23), (40, 24), 
(33, 23), (42, 24), 
(32, 23), (44, 26), 
(36, 23), (41, 24), 
(34, 23), (46, 25), 
(41, 26), (39, 25), 
(35, 24), (46, 26), 
(46, 26), (41, 24), 
(39, 25), (43, 24), 
(47, 27), (42, 25), 
(42, 26), (42, 24), 
(47, 27), (44, 25), 
(48, 27), (43, 25), 
(50, 27), (45, 24), 
(51, 28), (43, 26), 
(57, 30), (44, 25), 
(53, 28), (45, 26), 
(59, 30), (46, 25), 
(53, 28), (47, 26), 
(60, 29), (46, 25), 
(54, 28), (49, 26), 
(55, 27), (44, 23), 
(52, 27), (49, 25), 
(52, 26), (44, 22), 
(57, 27), (48, 25), 
(45, 25), (40, 21), 
(65, 31), (50, 26), 
(46, 25), (40, 20), 
(65, 31), (52, 27), 
(49, 26), (33, 15), 
(55, 29), (48, 26), 
(53, 26), (35, 14), 
(51, 27), (45, 23), 
(55, 26), (37, 14), 
(49, 26), (47, 22), 
(56, 27), (35, 15), 
(51, 27), (47, 22), 
(58, 24), (34, 12), 
(49, 25), (47, 21), 
(58, 26), (32, 11), 
(50, 24), (47, 20), 
(60, 25), (36, 13), 
(50, 24), (50, 21), 
(62, 26), (39, 13), 
(50, 26), (49, 23), 
(64, 27), (41, 16), 
(53, 26), (49, 22), 
(63, 26), (45, 18), 
(56, 26), (48, 22), 
(66, 27), (45, 19), 
(56, 27), (50, 22), 
(66, 27), (45, 19), 
(56, 26), (50, 23), 
(65, 24), (50, 18), 
(58, 26), (49, 22), 
(59, 23), (47, 17), 
(60, 27), (48, 22), 
(58, 24), (44, 16), 
(61, 26), (50, 21), 
(58, 25), (44, 18), 
(59, 27), (49, 22), 
(58, 25), (46, 18), 
(60, 28), (48, 22), 
(58, 25), (47, 19), 
(60, 26), (48, 22), 
(61, 26), (51, 19), 
(60, 28), (50, 23), 
(63, 25), (51, 19), 
(60, 25), (52, 22), 
(62, 25), (52, 20), 
(61, 26), (52, 23), 
(60, 26), (53, 22), 
(61, 26), (50, 22), 
(59, 25), (54, 23), 
(64, 28), (48, 23), 
(62, 26), (54, 23), 
(65, 28), (50, 23), 
(66, 27), (54, 22), 
(67, 30), (54, 25), 
(71, 29), (55, 23), 
(66, 30), (57, 25), 
(70, 31), (53, 22), 
(65, 29), (59, 25), 
(70, 30), (50, 21), 
(62, 28), (59, 25), 
(71, 32), (47, 21), 
(64, 28), (60, 25), 
(73, 33), (44, 17), 
(64, 27), (59, 24), 
(72, 33), (37, 14), 
(66, 29), (55, 23), 
(72, 33), (27, 9), 
(67, 30), (52, 21), 
(71, 33), (20, 6), 
(67, 30), (46, 18), 
(70, 32), (19, 5), 
(73, 34), (45, 19), 
(68, 31), (16, 4), 
(73, 33), (45, 18), 
(68, 31), (15, 3), 
(74, 34), (51, 20), 
(65, 30), (12, 1), 
(73, 34), (51, 19), 
(63, 29), (9, 0), 
(73, 33), (50, 19), 
(59, 26), (8, -1), 
(73, 34), (52, 22), 
(55, 25), (5, -2), 
(73, 35), (48, 20), 
(55, 26), (4, -1), 
(73, 36), (49, 21), 
(53, 24), (4, -2), 
(72, 36), (47, 21), 
(43, 18), (2, -4), 
(72, 36), (33, 12), 
(45, 18), (2, -3), 
(71, 36), (30, 10), 
(56, 25), (5, -3), 
(72, 34), (45, 19), 
(67, 32), (15, 2), 
(73, 35), (58, 25), 
(69, 32), (27, 9), 
(74, 33), (63, 27), 
(66, 28), (57, 23), 
(74, 32), (69, 28), 
(57, 22), (72, 30), 
(75, 32), (72, 30), 
(55, 20), (73, 29), 
(75, 33), (73, 29), 
(50, 17), (73, 29), 
(75, 34), (75, 29), 
(48, 15), (72, 29), 
(75, 34), (75, 29), 
(45, 13), (73, 30), 
(75, 35), (74, 30), 
(36, 7), (72, 31), 
(74, 34), (74, 31), 
(36, 8), (72, 31), 
(73, 33), (74, 29), 
(32, 4), (72, 31), 
(70, 31), (74, 29), 
(31, 2), (69, 31), 
(64, 28), (74, 30), 
(30, 2), (66, 29), 
(55, 22), (73, 32), 
(30, 1), (66, 29), 
(51, 19), (73, 31), 
(32, 3), (61, 27), 
(46, 15), (72, 32), 
(32, 3), (60, 27), 
(43, 13), (73, 32), 
(34, 6), (59, 25), 
(36, 7), (71, 32), 
(40, 9), (58, 24), 
(31, 4), (71, 30), 
(46, 14), (57, 22), 
(31, 4), (69, 29), 
(52, 19), (52, 19), 
(30, 3), (67, 28), 
(51, 18), (54, 20), 
